Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
30.55	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13	-9.870963E-13
31.2	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13	-9.875924E-13
31.85	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13	-9.880781E-13
32.5	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13	-9.885536E-13
33.15	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13	-9.890193E-13
33.8	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13	-9.894752E-13
34.45	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13	-9.899216E-13
35.1	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13	-9.903585E-13
35.75	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13	-9.907864E-13
36.4	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13	-9.912054E-13
37.05	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13	-9.916155E-13
37.7	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13	-9.920171E-13
38.35	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13	-9.924103E-13
39	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13	-9.927953E-13
39.65	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13	-9.931721E-13
40.3	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13	-9.935412E-13
40.95	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13	-9.939024E-13
41.6	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13	-9.942562E-13
42.25	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13	-9.946026E-13
42.9	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13	-9.949417E-13
43.55	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13	-9.952737E-13
44.2	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13	-9.955988E-13
44.85	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13	-9.95917E-13
45.5	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13	-9.962286E-13
46.15	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13	-9.965337E-13
