Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
4.68	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13	-2.763751E-13
4.81	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13	-2.762518E-13
4.94	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13	-2.761351E-13
5.07	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13	-2.760247E-13
5.2	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13	-2.759201E-13
5.33	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13	-2.758211E-13
5.46	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13	-2.757274E-13
5.59	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13	-2.756387E-13
5.72	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13	-2.755548E-13
5.85	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13	-2.754753E-13
